ITU-T A-Series Recommendations: Organization of the work of ITU-T,,
A supplements,Supplements to the Series A Recommendations,
,,
,,
ITU-T D-Series Recommendations: Tariff and accounting principles and international telecommunication/ICT economic and policy issues,,
D.0-D.0,Terms and definitions,
D.1-D.299,General tariff principles,
,D.1-D.9,Private leased telecommunication facilities
,D.10-D.39,Tariff principles applying to data communication services over dedicated public data networks
,D.40-D.44,Charging and accounting in the international public telegram service
,D.45-D.49,Charging and accounting in the international telemessage service
,D.50-D.59,Principles applicable to GII-Internet
,D.60-D.69,Charging and accounting in the international telex service
,D.70-D.75,Charging and accounting in the international facsimile service
,D.76-D.79,Charging and accounting in the international videotex service
,D.80-D.89,Charging and accounting in the international phototelegraph service
,D.90-D.99,Charging and accounting in the mobile services
,D.100-D.159,Charging and accounting in the international telephone service
,D.160-D.179,Drawing up and exchange of international telephone and telex accounts
,D.180-D.184,International sound- and television-programme transmissions
,D.185-D.189,Charging and accounting for international satellite services
,D.190-D.191,Transmission of monthly international accounting information
,D.192-D.195,Service and privilege telecommunications
,D.196-D.209,Settlement of international telecommunication balances of accounts
,D.210-D.260,Charging and accounting principles for international telecommunication services provided over the ISDN
,D.261-D.269,Economic and policy factors relevant to the efficient provision of international telecommunication services
,D.270-D.279,Charging and accounting principles for next generation networks (NGN)
,D.280-D.284,Charging and accounting principles for universal personal telecommunication
,D.285-D.299,Charging and accounting principles for intelligent network supported services
D.300-D.899,Recommendations for regional application,
,D.300-D.399,Recommendations applicable in Europe and the Mediterranean Basin
,D.400-D.499,Recommendations applicable in Latin America
,D.500-D.599,Recommendations applicable in Asia and Oceania
,D.600-D.699,Recommendations applicable to the African Region
,D.700-D.799,Recommendations for ITU-T SG3 regional group for the Arab Region (SG3RG-ARB)
,D.800-D.899,"Recommendations for ITU-T SG3 regional group for Eastern Europe, Central Asia and Transcaucasia (SG3RG-EECAT)"
D supplements,Supplements to ITU-T D-series D Recommendations,
,,
,,
"ITU-T E-Series Recommendations: Overall network operation, telephone service, service operation and human factors",,
E.100-E.229,International operation,
,E.100-E.103,Definitions
,E.104-E.119,General provisions concerning Administrations
,E.120-E.139,General provisions concerning users
,E.140-E.159,Operation of international telephone services
,E.160-E.169,Numbering plan of the international telephone service
,E.170-E.179,International routing plan
,E.180-E.189,Tones in national signalling systems
,E.190-E.199,Numbering plan of the international telephone service
,E.200-E.229,Maritime mobile service and public land mobile service
E.230-E.299,Operational provisions relating to charging and accounting in the international telephone service,
,E.230-E.249,Charging in the international telephone service
,E.260-E.269,Measuring and recording call durations for accounting purposes
E.300-E.329,Utilization of the international telephone network for non-telephony applications,
,E.300-E.319,General
,E.320-E.329,Phototelegraphy
E.330-E.349,ISDN provisions concerning users,
E.350-E.399,International routing plan,
E.400-E.489,Network management,
,E.400-E.404,International service statistics
,E.405-E.419,International network management
,E.420-E.489,Checking the quality of the international telephone service
E.490-E.799,Traffic engineering,
,E.490-E.505,Measurement and recording of traffic
,E.506-E.509,Forecasting of traffic
,E.510-E.519,Determination of the number of circuits in manual operation
,E.520-E.539,Determination of the number of circuits in automatic and semi-automatic operation
,E.540-E.599,Grade of service
,E.600-E.649,Definitions
,E.650-E.699,Traffic engineering for IP-networks
,E.700-E.749,ISDN traffic engineering
,E.750-E.799,Mobile network traffic engineering
E.800-E.899,"Quality of telecommunication services: concepts, models, objectives and dependability planning",
,E.800-E.809,Terms and definitions related to the quality of telecommunication services
,E.810-E.844,Models for telecommunication services
,E.845-E.859,Objectives for quality of service and related concepts of telecommunication services
,E.860-E.879,Use of quality of service objectives for planning of telecommunication networks
,E.880-E.899,"Field data collection and evaluation on the performance of equipment, networks and services"
E.900-E.999,Other,
E.1000-E.1999,International operation,
,E.1100-E.1199,Numbering plan of the international telephone service
E.4000-E.4999,Network management,
,E.4100-E.4199,International network management
E supplements,Supplements to the E-series Recommendations,
,E.100-E.400 supplements,Supplements to ITU-T E-series Recommendations relating to the operations of the international service
,E.400-E.900 supplements,Supplements to ITU-T E-series Recommendations relating to telephone network management and traffic engineering
,,
,,
ITU-T F-Series Recommendations: Non-telephone telecommunication services,,
F.1-F.109,Telegraph service,
F.1-F.19,Operating methods for the international public telegram service,
F.20-F.29,The gentex network,
F.30-F.39,Message switching,
F.40-F.58,The international telemessage service,
F.59-F.89,The international telex service,
F.90-F.99,Statistics and publications on international telegraph services,
F.100-F.104,Scheduled and leased communication services,
F.105-F.109,Phototelegraph service,
F.110-F.159,Mobile service,
F.110-F.159,Mobile services and multidestination satellite services,
F.160-F.399,Telematic services,
F.160-F.199,Public facsimile service,
F.200-F.299,Teletex service,
F.300-F.349,Videotex service,
F.350-F.399,General provisions for telematic services,
F.400-F.499,Message handling services,
F.500-F.549,Directory services,
F.550-F.599,Document communication,
F.550-F.579,Document communication,
F.580-F.599,Programming communication interfaces,
F.600-F.699,Data transmission services,
F.700-F.799,Multimedia services,
F.800-F.849,ISDN services,
F.850-F.899,Universal personal telecommunication,
F.900-F.999,Accessibility and human factors,
F supplements,Supplements to ITU-T F-series Recommendations,
,,
,,
"ITU-T G-Series Recommendations: Transmission systems and media, digital systems and networks",,
G.100-G.199,International telephone connections and circuits,
G.100-G.109,Transmission planning and the E-model,
G.110-G.119,General Recommendations on the transmission quality for an entire international telephone connection,
G.120-G.129,General characteristics of national systems forming part of international connections,
G.130-G.139,General characteristics of the 4-wire chain formed by the international circuits and national extension circuits,
G.140-G.149,General characteristics of the 4-wire chain of international circuits; international transit,
G.150-G.159,General characteristics of international telephone circuits and national extension circuits,
G.160-G.169,Apparatus associated with long-distance telephone circuits,
G.170-G.179,Transmission plan aspects of special circuits and connections using the international telephone connection network,
G.180-G.189,Protection and restoration of transmission systems,
G.190-G.199,Software tools for transmission systems,
G.200-G.299,General characteristics common to all analogue carrier-transmission systems,
G.210-G.219,Definitions and general considerations,
G.220-G.229,General Recommendations,
G.230-G.239,Translating equipment used on various carrier-transmission systems,
G.240-G.299,"Utilization of groups, supergroups, etc.",
G.300-G.399,Individual characteristics of international carrier telephone systems on metallic lines,
G.320-G.329,"Carrier telephone systems on unloaded symmetric cable pairs, providing groups or supergroups",
G.330-G.339,Carrier systems on 2.6/9.5 mm coaxial cable pairs,
G.340-G.349,Carrier systems on 1.2/4.4 mm coaxial cable pairs,
G.350-G.399,Additional Recommendations on cable systems,
G.400-G.449,General characteristics of international carrier telephone systems on radio-relay or satellite links and interconnection with metallic lines,
G.400-G.419,General Recommendations,
G.420-G.429,Interconnection of radio-relay links with carrier systems on metallic lines,
G.430-G.439,Hypothetical reference circuits,
G.440-G.449,Circuit noise,
G.450-G.499,Coordination of radiotelephony and line telephony,
G.450-G.469,Radiotelephone circuits,
G.470-G.499,Links with mobile stations,
G.600-G.699,Transmission media and optical systems characteristics,
G.600-G.609,General,
G.610-G.619,Symmetric cable pairs,
G.620-G.629,Land coaxial cable pairs,
G.630-G.639,Submarine cables,
G.640-G.649,Free space optical systems,
G.650-G.659,Optical fibre cables,
G.660-G.679,Characteristics of optical components and subsystems,
G.680-G.699,Characteristics of optical systems,
G.700-G.799,Digital terminal equipments,
G.700-G.709,General,
G.710-G.729,Coding of voice and audio signals,
G.730-G.739,Principal characteristics of primary multiplex equipment,
G.740-G.749,Principal characteristics of second order multiplex equipment,
G.750-G.759,Principal characteristics of higher order multiplex equipment,
G.760-G.769,Principal characteristics of transcoder and digital multiplication equipment,
